Sexo	Edad	Provincias	Periodo	Total
Ambos sexos	Total	38 Santa Cruz de Tenerife	2014	1016031
Ambos sexos	Total	38 Santa Cruz de Tenerife	2013	1009581
Ambos sexos	Total	38 Santa Cruz de Tenerife	2012	1000430
Ambos sexos	Total	38 Santa Cruz de Tenerife	2011	991381
Ambos sexos	Total	38 Santa Cruz de Tenerife	2010	982316
Ambos sexos	Total	38 Santa Cruz de Tenerife	2009	973113
Ambos sexos	Total	38 Santa Cruz de Tenerife	2008	961118
Ambos sexos	Total	38 Santa Cruz de Tenerife	2007	940212
Ambos sexos	Total	38 Santa Cruz de Tenerife	2006	918566
Ambos sexos	Total	38 Santa Cruz de Tenerife	2005	896608
Ambos sexos	Total	40 Segovia	2018	153928
Ambos sexos	Total	40 Segovia	2017	154469
Ambos sexos	Total	40 Segovia	2016	155797
Ambos sexos	Total	40 Segovia	2015	157120
Ambos sexos	Total	40 Segovia	2014	158472
Ambos sexos	Total	40 Segovia	2013	160204
Ambos sexos	Total	40 Segovia	2012	161988
Ambos sexos	Total	40 Segovia	2011	163250
Ambos sexos	Total	40 Segovia	2010	163297
Ambos sexos	Total	40 Segovia	2009	163030
Ambos sexos	Total	40 Segovia	2008	163407
Ambos sexos	Total	40 Segovia	2007	161374
Ambos sexos	Total	40 Segovia	2006	157369
Ambos sexos	Total	40 Segovia	2005	155288
Ambos sexos	Total	41 Sevilla	2018	1946216
Ambos sexos	Total	41 Sevilla	2017	1943275
Ambos sexos	Total	41 Sevilla	2016	1941355
Ambos sexos	Total	41 Sevilla	2015	1939763
Ambos sexos	Total	41 Sevilla	2014	1937694
Ambos sexos	Total	41 Sevilla	2013	1936538
Ambos sexos	Total	41 Sevilla	2012	1934552
Ambos sexos	Total	41 Sevilla	2011	1925234
Ambos sexos	Total	41 Sevilla	2010	1910388
Ambos sexos	Total	41 Sevilla	2009	1893602
Ambos sexos	Total	41 Sevilla	2008	1872245
Ambos sexos	Total	41 Sevilla	2007	1846364
Ambos sexos	Total	41 Sevilla	2006	1819650
Ambos sexos	Total	41 Sevilla	2005	1796244
Ambos sexos	Total	42 Soria	2018	89415
Ambos sexos	Total	42 Soria	2017	89707
Ambos sexos	Total	42 Soria	2016	90267
Ambos sexos	Total	42 Soria	2015	91165
Ambos sexos	Total	42 Soria	2014	92139
Ambos sexos	Total	42 Soria	2013	93017
Ambos sexos	Total	42 Soria	2012	94019
Ambos sexos	Total	42 Soria	2011	94674
Ambos sexos	Total	42 Soria	2010	94886
Ambos sexos	Total	42 Soria	2009	94705
Ambos sexos	Total	42 Soria	2008	94714
Ambos sexos	Total	42 Soria	2007	93855
Ambos sexos	Total	42 Soria	2006	92931
Ambos sexos	Total	42 Soria	2005	92441
Ambos sexos	Total	43 Tarragona	2018	797389
Ambos sexos	Total	43 Tarragona	2017	792372
Ambos sexos	Total	43 Tarragona	2016	791651
Ambos sexos	Total	43 Tarragona	2015	791753
Ambos sexos	Total	43 Tarragona	2014	793585
Ambos sexos	Total	43 Tarragona	2013	798524
Ambos sexos	Total	43 Tarragona	2012	804923
Ambos sexos	Total	43 Tarragona	2011	805365
Ambos sexos	Total	43 Tarragona	2010	800618
Ambos sexos	Total	43 Tarragona	2009	796357
Ambos sexos	Total	43 Tarragona	2008	788132
Ambos sexos	Total	43 Tarragona	2007	765170
Ambos sexos	Total	43 Tarragona	2006	733363
Ambos sexos	Total	43 Tarragona	2005	703579
Ambos sexos	Total	44 Teruel	2018	133292
Ambos sexos	Total	44 Teruel	2017	134112
Ambos sexos	Total	44 Teruel	2016	135336
Ambos sexos	Total	44 Teruel	2015	136698
Ambos sexos	Total	44 Teruel	2014	138538
Ambos sexos	Total	44 Teruel	2013	140303
Ambos sexos	Total	44 Teruel	2012	141852
Ambos sexos	Total	44 Teruel	2011	143538
Ambos sexos	Total	44 Teruel	2010	144466
Ambos sexos	Total	44 Teruel	2009	145630
Ambos sexos	Total	44 Teruel	2008	146142
Ambos sexos	Total	44 Teruel	2007	144754
Ambos sexos	Total	44 Teruel	2006	142233
Ambos sexos	Total	44 Teruel	2005	140326
Ambos sexos	Total	45 Toledo	2018	688342
Ambos sexos	Total	45 Toledo	2017	685865
Ambos sexos	Total	45 Toledo	2016	688015
Ambos sexos	Total	45 Toledo	2015	690326
Ambos sexos	Total	45 Toledo	2014	693826
Ambos sexos	Total	45 Toledo	2013	699709
Ambos sexos	Total	45 Toledo	2012	704317
Ambos sexos	Total	45 Toledo	2011	703809
Ambos sexos	Total	45 Toledo	2010	696570
Ambos sexos	Total	45 Toledo	2009	687760
Ambos sexos	Total	45 Toledo	2008	675223
Ambos sexos	Total	45 Toledo	2007	651376
Ambos sexos	Total	45 Toledo	2006	622625
Ambos sexos	Total	45 Toledo	2005	601673
Ambos sexos	Total	46 Valencia/València	2018	2530661
Ambos sexos	Total	46 Valencia/València	2017	2522482
Ambos sexos	Total	46 Valencia/València	2016	2517927
Ambos sexos	Total	46 Valencia/València	2015	2519077
Ambos sexos	Total	46 Valencia/València	2014	2523408
Ambos sexos	Total	46 Valencia/València	2013	2535151
Ambos sexos	Total	46 Valencia/València	2012	2555904
Ambos sexos	Total	46 Valencia/València	2011	2560010
Ambos sexos	Total	46 Valencia/València	2010	2553676
Ambos sexos	Total	46 Valencia/València	2009	2551310
Ambos sexos	Total	46 Valencia/València	2008	2538914
Ambos sexos	Total	46 Valencia/València	2007	2496258
Ambos sexos	Total	46 Valencia/València	2006	2440925
Ambos sexos	Total	46 Valencia/València	2005	2395970
Ambos sexos	Total	47 Valladolid	2018	520367
Ambos sexos	Total	47 Valladolid	2017	521141
Ambos sexos	Total	47 Valladolid	2016	524134
Ambos sexos	Total	47 Valladolid	2015	525831
Ambos sexos	Total	47 Valladolid	2014	527800
Ambos sexos	Total	47 Valladolid	2013	529885
Ambos sexos	Total	47 Valladolid	2012	531821
Ambos sexos	Total	47 Valladolid	2011	532280
Ambos sexos	Total	47 Valladolid	2010	531184
Ambos sexos	Total	47 Valladolid	2009	529614
Ambos sexos	Total	47 Valladolid	2008	527430
Ambos sexos	Total	47 Valladolid	2007	522298
Ambos sexos	Total	47 Valladolid	2006	516000
Ambos sexos	Total	47 Valladolid	2005	511669
Ambos sexos	Total	49 Zamora	2018	174587
Ambos sexos	Total	49 Zamora	2017	177001
Ambos sexos	Total	49 Zamora	2016	179820
Ambos sexos	Total	49 Zamora	2015	182617
Ambos sexos	Total	49 Zamora	2014	185252
Ambos sexos	Total	49 Zamora	2013	187622
Ambos sexos	Total	49 Zamora	2012	190074
Ambos sexos	Total	49 Zamora	2011	192019
Ambos sexos	Total	49 Zamora	2010	193066
Ambos sexos	Total	49 Zamora	2009	194160
Ambos sexos	Total	49 Zamora	2008	195524
Ambos sexos	Total	49 Zamora	2007	195993
Ambos sexos	Total	49 Zamora	2006	195839
Ambos sexos	Total	49 Zamora	2005	196102
Ambos sexos	Total	50 Zaragoza	2018	963477
Ambos sexos	Total	50 Zaragoza	2017	962431
Ambos sexos	Total	50 Zaragoza	2016	961415
Ambos sexos	Total	50 Zaragoza	2015	963867
Ambos sexos	Total	50 Zaragoza	2014	967100
Ambos sexos	Total	50 Zaragoza	2013	970328
Ambos sexos	Total	50 Zaragoza	2012	973800
Ambos sexos	Total	50 Zaragoza	2011	974838
Ambos sexos	Total	50 Zaragoza	2010	972628
Ambos sexos	Total	50 Zaragoza	2009	972160
Ambos sexos	Total	50 Zaragoza	2008	964272
Ambos sexos	Total	50 Zaragoza	2007	942666
Ambos sexos	Total	50 Zaragoza	2006	922327
Ambos sexos	Total	50 Zaragoza	2005	907595
Ambos sexos	Total	51 Ceuta	2018	84949
Ambos sexos	Total	51 Ceuta	2017	84995
Ambos sexos	Total	51 Ceuta	2016	84724
Ambos sexos	Total	51 Ceuta	2015	84485
Ambos sexos	Total	51 Ceuta	2014	84619
Ambos sexos	Total	51 Ceuta	2013	84500
Ambos sexos	Total	51 Ceuta	2012	84194
Ambos sexos	Total	51 Ceuta	2011	82910
Ambos sexos	Total	51 Ceuta	2010	80622
Ambos sexos	Total	51 Ceuta	2009	77811
Ambos sexos	Total	51 Ceuta	2008	75776
Ambos sexos	Total	51 Ceuta	2007	74563
Ambos sexos	Total	51 Ceuta	2006	73292
Ambos sexos	Total	51 Ceuta	2005	72192
Ambos sexos	Total	52 Melilla	2018	84628
Ambos sexos	Total	52 Melilla	2017	84809
Ambos sexos	Total	52 Melilla	2016	84693
Ambos sexos	Total	52 Melilla	2015	84676
Ambos sexos	Total	52 Melilla	2014	84080
Ambos sexos	Total	52 Melilla	2013	83645
Ambos sexos	Total	52 Melilla	2012	82653
Ambos sexos	Total	52 Melilla	2011	80171
Ambos sexos	Total	52 Melilla	2010	77424
Ambos sexos	Total	52 Melilla	2009	74484
Ambos sexos	Total	52 Melilla	2008	72213
Ambos sexos	Total	52 Melilla	2007	70080
Ambos sexos	Total	52 Melilla	2006	67924
Ambos sexos	Total	52 Melilla	2005	66351
